playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
berryqu01,2013,1,BOS,AL,13,13,8,5,5,0,0,1,4,3,0,1,2,0,0,0,0,0,0
bogaexa01,2013,1,BOS,AL,18,18,44,7,11,2,0,1,5,1,0,5,13,0,0,0,1,1,0
bradlja02,2013,1,BOS,AL,37,37,95,18,18,5,0,3,10,2,0,10,31,0,2,0,0,1,0
carpmi01,2013,1,BOS,AL,86,86,216,34,64,18,2,9,43,1,0,22,67,0,2,0,3,3,0
ciriape01,2013,1,BOS,AL,28,28,51,4,11,2,1,1,4,2,1,6,12,0,0,0,1,0,0
diazjo02,2013,1,BOS,AL,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubrfe01,2013,1,BOS,AL,29,29,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
drewst01,2013,1,BOS,AL,124,124,442,57,112,29,8,13,67,6,0,54,124,3,1,0,4,9,0
ellsbja01,2013,1,BOS,AL,134,134,577,92,172,31,8,9,53,52,4,47,92,3,5,1,2,12,0
gomesjo01,2013,1,BOS,AL,116,116,312,49,77,17,0,13,52,1,0,43,89,3,6,0,5,6,0
holtbr01,2013,1,BOS,AL,26,26,59,9,12,2,0,0,11,1,0,7,4,0,0,3,3,0,0
iglesjo01,2013,1,BOS,AL,63,63,215,27,71,10,2,1,19,3,1,11,30,0,6,0,2,4,0
lackejo01,2013,1,BOS,AL,29,29,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
lavarry01,2013,1,BOS,AL,25,25,77,8,23,7,0,1,14,0,0,2,17,0,2,0,1,3,0
lestejo01,2013,1,BOS,AL,33,33,6,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
mcdonjo03,2013,4,BOS,AL,6,6,8,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0
middlwi01,2013,1,BOS,AL,94,94,348,41,79,18,0,17,49,3,1,20,98,3,2,1,3,13,0
moralfr01,2013,1,BOS,AL,20,20,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
mortecl01,2013,1,BOS,AL,24,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
napolmi01,2013,1,BOS,AL,139,139,498,79,129,38,2,23,92,1,1,73,187,3,6,0,1,15,0
navada01,2013,1,BOS,AL,134,134,458,77,139,29,0,12,66,0,2,51,93,2,15,4,8,10,0
ortizda01,2013,1,BOS,AL,137,137,518,84,160,38,2,30,103,4,0,76,88,27,1,0,5,21,0
peavyja01,2013,2,BOS,AL,10,10,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pedrodu01,2013,1,BOS,AL,160,160,641,91,193,42,2,9,84,17,5,73,75,4,3,0,7,24,0
rossda01,2013,1,BOS,AL,36,36,102,11,22,5,0,4,10,1,0,11,42,0,1,2,0,3,0
saltaja01,2013,1,BOS,AL,121,121,425,68,116,40,0,14,65,4,1,43,139,3,0,0,2,7,0
snydebr03,2013,1,BOS,AL,27,27,50,5,9,3,0,2,7,0,0,0,16,0,2,0,0,0,0
victosh01,2013,1,BOS,AL,122,122,477,82,140,26,2,15,61,21,3,25,75,0,18,10,2,5,0
